IndiceGene,ProbeSetID,F_ANOVA_7grupos,P_ANOVA_7grupos,FDR_ANOVA_7grupos
5568,1421262_at,266.594476711944,0,0
34483,1450188_s_at,189.514331238557,0,0
12053,1427747_a_at,178.466301085435,0,0
4012,1419681_a_at,145.1745686156,0,0
7259,1422953_at,140.183347397359,0,0
25171,1440865_at,131.762278521982,0,0
33666,1449366_at,123.507324011405,0,0
3053,1418722_at,119.184466074792,0,0
34723,1450428_at,115.879573497846,0,0
32513,1448213_at,113.111171131594,0,0
33056,1448756_at,100.904926724841,0,0
18245,1433939_at,100.775556401455,0,0
21366,1437060_at,99.2684288892415,0,0
19154,1434848_at,96.1357460234778,0,0
2631,1418300_a_at,92.5565904986703,0,0
19064,1434758_at,91.5586227929887,0,0
32112,1447806_s_at,90.5052884525969,0,0
18352,1434046_at,89.3872144302075,1.11022302462516e-16,1.92585263975458e-13
867,1416536_at,89.1251315513262,1.11022302462516e-16,1.92585263975458e-13
3725,1419394_s_at,89.0231838825751,1.11022302462516e-16,1.92585263975458e-13
3863,1419532_at,85.9328880524072,1.11022302462516e-16,1.92585263975458e-13
32862,1448562_at,85.0919742877004,1.11022302462516e-16,1.92585263975458e-13
12772,1428466_at,84.4002216780418,1.11022302462516e-16,1.92585263975458e-13
21362,1437056_x_at,83.960210486967,1.11022302462516e-16,1.92585263975458e-13
4040,1419709_at,83.467968007551,1.11022302462516e-16,1.92585263975458e-13
5234,1420928_at,83.3005023397278,1.11022302462516e-16,1.92585263975458e-13
9595,1425289_a_at,81.7599449779072,2.22044604925031e-16,3.57658347382994e-13
5672,1421366_at,81.3742202353438,2.22044604925031e-16,3.57658347382994e-13
1621,1417290_at,78.8844566396541,3.33066907387547e-16,5.00721686336192e-13
8815,1424509_at,78.0707736720016,3.33066907387547e-16,5.00721686336192e-13
18790,1434484_at,76.4245257849929,4.44089209850063e-16,6.46092498498312e-13
11408,1427102_at,75.8008173429111,5.55111512312578e-16,7.58669221721503e-13
20725,1436419_a_at,75.748132105043,5.55111512312578e-16,7.58669221721503e-13
6744,1422438_at,73.1692063407386,7.7715611723761e-16,1.03089758951569e-12
34617,1450322_s_at,73.0216289976565,8.88178419700125e-16,1.08264148397014e-12
37476,1453181_x_at,72.583126535351,8.88178419700125e-16,1.08264148397014e-12
10108,1425802_a_at,72.4984462327801,8.88178419700125e-16,1.08264148397014e-12
1628,1417297_at,72.4127081939396,9.99200722162641e-16,1.18591978342782e-12
25206,1440900_at,69.9172234068669,1.55431223447522e-15,1.79746246377095e-12
9824,1425518_at,69.4698751173612,1.66533453693773e-15,1.83190860854704e-12
4917,1420611_at,69.410189514141,1.66533453693773e-15,1.83190860854704e-12
8338,1424032_at,68.9797630990482,1.77635683940025e-15,1.86315046078583e-12
8560,1424254_at,68.933634679801,1.77635683940025e-15,1.86315046078583e-12
39987,1455692_x_at,67.6700324272467,2.33146835171283e-15,2.33670120290223e-12
39057,1454762_at,67.5370447231113,2.33146835171283e-15,2.33670120290223e-12
7081,1422775_at,67.1998064322849,2.55351295663786e-15,2.50360843168096e-12
34645,1450350_a_at,66.8590811345214,2.66453525910038e-15,2.55687669618481e-12
3978,1419647_a_at,66.2428417448367,2.99760216648792e-15,2.81655948564108e-12
20836,1436530_at,65.5730179267303,3.44169137633799e-15,3.16783107682081e-12
21662,1437356_at,65.3659309577913,3.5527136788005e-15,3.20461879255163e-12
1314,1416983_s_at,65.212690057585,3.66373598126302e-15,3.23996385276359e-12
632,1416301_a_at,64.8735489191351,3.99680288865056e-15,3.46653475155825e-12
7599,1423293_at,64.3481986681307,4.44089209850063e-15,3.77903159499013e-12
44622,1460330_at,64.1929324475239,4.55191440096314e-15,3.80177576662664e-12
19100,1434794_at,63.2867586800378,5.44009282066327e-15,4.40289758674927e-12
35832,1451537_at,63.151997608203,5.6621374255883e-15,4.40289758674927e-12
44750,1460458_at,63.1382447081594,5.6621374255883e-15,4.40289758674927e-12
21419,1437113_s_at,63.1202731227922,5.6621374255883e-15,4.40289758674927e-12
10986,1426680_at,62.9991926108506,5.77315972805081e-15,4.41314028635288e-12
37561,1453266_at,62.7971953519364,5.99520433297585e-15,4.50649517702573e-12
20302,1435996_at,62.7500014511855,6.10622663543836e-15,4.51470372926075e-12
35103,1450808_at,62.2355053595688,6.77236045021345e-15,4.92645530104963e-12
39747,1455452_x_at,62.0476682438011,6.99440505513849e-15,5.00721686336192e-12
14028,1429722_at,61.856948018929,7.32747196252603e-15,5.15895070770622e-12
45056,AFFX-GapdhMur/M32599_3_at,61.7798875503681,7.43849426498855e-15,5.15895070770622e-12
2493,1418162_at,61.731752105382,7.54951656745106e-15,5.15895070770622e-12
34652,1450357_a_at,61.4050181894378,8.10462807976364e-15,5.45562434366299e-12
10128,1425822_a_at,61.1387846740215,8.54871728961371e-15,5.58776374607055e-12
1791,1417460_at,61.0972690068529,8.54871728961371e-15,5.58776374607055e-12
16303,1431997_at,60.9376010773859,8.88178419700125e-15,5.72253355812791e-12
32593,1448293_at,60.339509258087,1.01030295240889e-14,6.41770048684415e-12
4897,1420591_at,60.2512706729198,1.0325074129014e-14,6.46765511517581e-12
3093,1418762_at,59.9378539890634,1.0991207943789e-14,6.79060917086068e-12
13833,1429527_a_at,59.8096248223833,1.13242748511766e-14,6.90183946030967e-12
3129,1418798_s_at,59.7072370249145,1.15463194561016e-14,6.91786540332897e-12
32661,1448361_at,59.6425823202199,1.16573417585641e-14,6.91786540332897e-12
948,1416617_at,59.5068407659862,1.21014309684142e-14,6.99726459110832e-12
25623,1441317_x_at,59.4921428961139,1.21014309684142e-14,6.99726459110832e-12
33128,1448828_at,59.2625547734336,1.26565424807268e-14,7.22560408130707e-12
5785,1421479_at,59.0739617979093,1.32116539930394e-14,7.44823508425085e-12
40235,1455940_x_at,59.0063775750311,1.34336985979644e-14,7.47991654897274e-12
32098,1447792_x_at,58.9062175797985,1.37667655053519e-14,7.48066133803467e-12
19674,1435368_a_at,58.9040593314977,1.37667655053519e-14,7.48066133803467e-12
11081,1426775_s_at,58.6899318655862,1.4432899320127e-14,7.74926419329821e-12
17870,1433564_at,58.5096715858492,1.49880108324396e-14,7.95263854769246e-12
31590,1447284_at,58.4368278721855,1.52100554373646e-14,7.97661291023934e-12
20067,1435761_at,58.2270775737723,1.59872115546023e-14,8.28780722211628e-12
1312,1416981_at,58.0574203913332,1.65423230669148e-14,8.47812855273779e-12
4226,1419907_s_at,57.7260886785294,1.77635683940025e-14,9.0017381813248e-12
442,1416111_at,57.691179986717,1.79856129989275e-14,9.01299035405145e-12
18323,1434017_at,57.6164061618205,1.82076576038526e-14,9.02399522627862e-12
20261,1435955_at,57.4865959425145,1.87627691161651e-14,9.19803967291483e-12
9137,1424831_at,56.9433218028466,2.12052597703405e-14,1.02836389344315e-11
36075,1451780_at,56.6353353449652,2.27595720048157e-14,1.09199942232893e-11
28384,1444078_at,56.53567149174,2.32036612146658e-14,1.10158770993962e-11
32618,1448318_at,56.4730288115143,2.35367281220533e-14,1.10576039065909e-11
13693,1429387_at,56.3122190379988,2.44249065417534e-14,1.13565743292745e-11
9757,1425451_s_at,56.2413651713767,2.48689957516035e-14,1.14450671162558e-11
36008,1451713_a_at,56.1523045447091,2.53130849614536e-14,1.14665266170988e-11
33260,1448960_at,56.1398415912763,2.54241072639161e-14,1.14665266170988e-11
11628,1427322_at,56.0571292542838,2.58681964737661e-14,1.15513022689438e-11
18827,1434521_at,55.8565518290315,2.70894418008538e-14,1.19780481829442e-11
