IndiceGene,ProbeSetID,Alpha,MeanPositive,MeanNegative,DeltaMean_Log2,T_Welch,P_Welch,FDR_Welch,AUC_PositiveHigher,AUC_Separation,EvidenceScore
32980,1448680_at,-0.0748075656706212,3.892218,7.342518,-3.4503,-2.32831298529836,0.0802201143448443,0.761344729899348,0,1,3.45780186996587
4771,1420465_s_at,-0.0773457564755237,4.955348,8.64912,-3.693772,-2.1554058206916,0.0966114862218852,0.773750596141361,0.24,0.76,3.04354202114326
38903,1454608_x_at,-0.061387588740237,4.215124,7.268846,-3.053722,-2.12225468481173,0.100849793952877,0.775572220475679,0.08,0.92,2.97914146636116
40208,1455913_x_at,-0.0626667059613676,2.988798,6.13443,-3.145632,-2.05824457504239,0.108037585946795,0.780072640617677,0.12,0.88,2.92875215713198
1133,1416802_a_at,0.0509832950737166,6.302656,5.092342,1.210314,3.3958873586143,0.0193633980062894,0.652433018814586,0.96,0.96,2.7784493730127
18743,1434437_x_at,0.0544266578335961,8.935776,7.662768,1.273008,3.13856702551222,0.0159578354539639,0.648398831407323,0.92,0.92,2.77260106134519
32526,1448226_at,0.0548264373954296,6.988098,5.838152,1.149946,2.74004078674338,0.026727282993846,0.671160309245828,0.96,0.96,2.75403320525215
1140,1416809_at,-0.0609659438233275,4.497704,7.560306,-3.062602,-2.02223435434997,0.112808338651953,0.783253219506075,0.2,0.8,2.71597961832785
44032,1459737_s_at,-0.0496758754607445,4.895694,7.258368,-2.362674,-2.08091626363226,0.104945619972026,0.777456045722463,0.04,0.96,2.71568471199273
33689,1449389_at,0.0345520974740892,9.692954,8.788012,0.904942000000002,5.55653670858802,0.00204985656631839,0.612661389706702,1,1,2.69171292397735
28138,1443832_s_at,0.0284474405542287,9.635208,8.739246,0.895962000000001,6.46021513639001,0.000355741899008409,0.612661389706702,1,1,2.61035481563101
2257,1417926_at,0.0330129233059989,6.850896,6.028648,0.822248000000001,3.80429512409968,0.0115962610581198,0.631168036692549,1,1,2.58868433815214
2460,1418129_at,0.0295536825004743,7.285004,6.56091,0.724094000000001,4.60245405169078,0.00185676277346631,0.612661389706702,1,1,2.57812826532343
2240,1417909_at,-0.0398741913668434,4.480748,6.111088,-1.63034,-2.46781573630628,0.059823437377284,0.738422102810328,0,1,2.57583485373111
1110,1416779_at,0.02636109611575,9.779842,8.951604,0.828237999999999,6.2821859447748,0.000241384360302718,0.612661389706702,1,1,2.56504586400113
31406,1447100_s_at,0.0290104607305511,5.15478,4.466028,0.688752,3.7579054791565,0.00606318835782164,0.612661389706702,1,1,2.56153696459427
22315,1438009_at,0.0437420485479892,11.0062,9.999456,1.006744,3.03779186106698,0.0194909172632825,0.652433018814586,0.92,0.92,2.54971575392562
2229,1417898_a_at,0.031291698300612,10.181142,9.424034,0.757108000000001,3.59849401097177,0.0137851688083336,0.631300536098189,1,1,2.54836713633146
33661,1449361_at,0.0283636016129331,7.775728,7.148886,0.626842000000001,4.33330474300014,0.00295332928742105,0.612661389706702,1,1,2.53641309112087
3391,1419060_at,0.0269809145252437,8.394926,7.749166,0.645760000000002,4.30790367648155,0.00277545426745674,0.612661389706702,1,1,2.52365795084183
9951,1425645_s_at,0.024198720720115,7.526248,6.780008,0.74624,5.67220394599465,0.00046920438978166,0.612661389706702,1,1,2.51488956715657
29258,1444952_a_at,0.0247810093736036,9.25564,8.54012,0.715520000000001,5.05152472951332,0.00152187354165991,0.612661389706702,1,1,2.5141012639612
6081,1421775_at,0.0261015819580156,5.43381,4.782858,0.650952000000001,4.0581127825651,0.00364297210299642,0.612661389706702,1,1,2.51369468661417
25360,1441054_at,0.0494874866893835,6.847398,5.675666,1.171732,2.89575399262666,0.0282640776371932,0.678018759325675,0.88,0.88,2.51015278290424
40200,1455905_at,0.0240001562127807,6.830612,6.201796,0.628816,7.79313363487063,6.29612610847596e-05,0.612661389706702,1,1,2.48053260449193
35027,1450732_a_at,0.0235537082512705,8.648872,8.003864,0.645008000000001,5.63659697850522,0.000514376093415543,0.612661389706702,1,1,2.479144082458
19612,1435306_a_at,0.023917251254429,4.585582,4.024224,0.561358000000001,4.84127700336106,0.00139809138129487,0.612661389706702,1,1,2.4611980955729
18110,1433804_at,0.0214579037699322,7.977768,7.301628,0.676140000000001,4.01403909680105,0.00534976606566355,0.612661389706702,1,1,2.46047570840555
44594,1460302_at,0.0205346302658159,9.32213,8.605714,0.716415999999999,4.55803775016176,0.00515770322362738,0.612661389706702,1,1,2.45944248252852
7273,1422967_a_at,0.0377576717578147,6.382522,5.457928,0.924594000000001,2.99410887043062,0.0176186039727512,0.651916725710361,0.92,0.92,2.45171952308061
168,1415837_at,0.025468377438829,5.856508,5.123364,0.733143999999999,3.75331941042805,0.00562774773331537,0.612661389706702,0.96,0.96,2.44775950660526
6117,1421811_at,0.0194841432957022,10.43094,9.710868,0.720072,4.19365449454636,0.00766188926291412,0.612661389706702,1,1,2.44685053130818
26306,1442000_at,0.0208319718280117,9.37273,8.729196,0.643534000000002,5.768115348428,0.000504055599817906,0.612661389706702,1,1,2.44355575573894
1844,1417513_at,0.0218002184361358,10.69902,10.1163,0.582720000000002,10.3139233063402,0.00042602016454154,0.612661389706702,1,1,2.43961026806317
28229,1443923_at,0.0209198028574714,7.633944,7.02153,0.612413999999999,3.69319018268134,0.0062606060039071,0.612661389706702,1,1,2.4362663292681
7110,1422804_at,0.0219026381425502,6.727934,6.193074,0.534859999999999,5.82828197844769,0.000404064847827922,0.612661389706702,1,1,2.42797750560643
3223,1418892_at,0.0196880177252137,10.3397,9.702882,0.636818,5.37441788523387,0.000721938715293635,0.612661389706702,1,1,2.42694740006057
36661,1452366_at,0.0190696412362802,9.47963,8.829562,0.650067999999999,4.83797461484036,0.00134300213269731,0.612661389706702,1,1,2.42253954168214
1109,1416778_at,0.0197340699874379,10.010908,9.401644,0.609264,4.82238081947451,0.00375116289891581,0.612661389706702,1,1,2.42008322553213
31984,1447678_at,0.0202374971906152,8.679802,8.099598,0.580204,4.60715446642056,0.00177114537807556,0.612661389706702,1,1,2.41872472930474
23346,1439040_at,0.0283007038139481,4.609406,3.953892,0.655514,3.61582416742849,0.0175957226957283,0.651916725710361,1,1,2.41660362723324
21004,1436698_x_at,0.0206516949665053,4.10899,3.56066,0.54833,3.76791300874942,0.00702335388437499,0.612661389706702,1,1,2.41545076469456
34378,1450083_at,0.0201040877963244,9.53423,8.960198,0.574031999999999,3.9173552687757,0.00492941522615616,0.612661389706702,1,1,2.4153289611979
35808,1451513_x_at,-0.045402904169496,4.029518,6.531926,-2.502408,-1.88972533058837,0.131440575413678,0.794438674850213,0.16,0.84,2.41416467141406
33043,1448743_at,0.0200766303658434,6.55148,5.992276,0.559204,5.38583387964586,0.000657399289517584,0.612661389706702,1,1,2.41095963996726
32144,1447838_x_at,-0.0208125804829471,4.810524,5.331502,-0.520977999999999,-4.24520582940877,0.00283558892889208,0.612661389706702,0,1,2.41012595369508
3484,1419153_at,0.0282269297426981,8.947402,8.308544,0.638857999999999,3.76168700980715,0.00882253523320195,0.627798678557349,0.96,0.96,2.40808281249134
23372,1439066_at,0.0186110001977008,9.252892,8.638292,0.614600000000001,4.07331345210687,0.00356908835310852,0.612661389706702,1,1,2.4070076720917
22467,1438161_s_at,0.0287527465523796,5.354638,4.73685,0.617788,3.04127779025934,0.0233001818656188,0.654334683886224,1,1,2.40467840821178
14075,1429769_at,0.0246599598309105,5.91293,5.320064,0.592865999999999,3.55084468179848,0.0143136601677225,0.635710194031788,1,1,2.40395366677127
23811,1439505_at,0.0181332516392505,7.43629,6.813878,0.622412,3.69939785345466,0.00605602930758723,0.612661389706702,1,1,2.40294578164482
42669,1458374_at,0.0195688779123513,9.25098,8.70551,0.54547,9.8670023486067,7.40778716618216e-05,0.612661389706702,1,1,2.40067676804703
9033,1424727_at,0.0234674101607643,6.332976,5.81386,0.519116,3.65979691175309,0.00860205049903673,0.626293095470676,1,1,2.39903053173742
44552,1460259_s_at,0.0219483844579354,6.163166,5.46168,0.701486000000001,3.69717574997722,0.00624117641362055,0.612661389706702,0.96,0.96,2.39367894394932
40040,1455745_at,0.0396313271337871,8.537084,7.606974,0.930109999999999,2.86169501714434,0.0232561299102888,0.654334683886224,0.88,0.88,2.38988103817233
7750,1423444_at,0.0196055305826076,9.851678,9.37985,0.471828,4.94477367563618,0.0014409918780215,0.612661389706702,1,1,2.38121384796927
9160,1424854_at,0.0176927206004265,11.01158,10.46314,0.548439999999999,5.82879640960824,0.000604424609814413,0.612661389706702,1,1,2.3772240232157
6563,1422257_s_at,0.0174155052618778,7.171742,6.610524,0.561218,5.08771566956862,0.00105549309085939,0.612661389706702,1,1,2.37709924797841
34725,1450430_at,-0.0220008253229091,4.275504,4.821352,-0.545848,-3.35298502164409,0.0104914931566639,0.630251730299762,0,1,2.37444576254647
5094,1420788_at,0.0231322208391887,7.548414,6.980456,0.567958,3.82666671163529,0.00523010002885701,0.612661389706702,0.96,0.96,2.37283524417491
35262,1450967_at,0.0166200335118762,11.70688,11.14828,0.558600000000004,4.21443432436415,0.00296906300653667,0.612661389706702,1,1,2.36610584879647
7254,1422948_s_at,0.0171982249227398,11.81456,11.2888,0.52576,5.13744723776321,0.00278662777694504,0.612661389706702,1,1,2.36469063337984
21291,1436985_at,0.0230187333042809,7.24879,6.720928,0.527862000000001,4.25543749699358,0.0028258023892309,0.612661389706702,0.96,0.96,2.36051293765996
13110,1428804_at,0.0163911489125463,9.587938,9.049556,0.538382,4.53344608942384,0.00237642342456153,0.612661389706702,1,1,2.3576730666975
21648,1437342_x_at,0.0161005021612005,11.81716,11.28396,0.533199999999999,3.80333456283024,0.00666078332395559,0.612661389706702,1,1,2.35251239860457
20699,1436393_a_at,0.0163494849888927,8.674634,8.15511,0.519524000000002,3.84227633022172,0.00638405907692314,0.612661389706702,1,1,2.35202904434553
19574,1435268_at,0.016465361364219,7.703826,7.197432,0.506394,3.82741453372261,0.00579026075456817,0.612661389706702,1,1,2.34997257576236
15439,1431133_at,0.0160189734043658,5.996384,5.475962,0.520422,4.79833444813766,0.00159707220225574,0.612661389706702,1,1,2.34799897849408
23080,1438774_s_at,0.0163568572433425,8.206088,7.702968,0.503119999999999,4.79937902848616,0.00139431080389119,0.612661389706702,1,1,2.34768337130033
10890,1426584_a_at,0.0177934790739776,8.142258,7.7115,0.430757999999999,4.56683174282264,0.00211156175333461,0.612661389706702,1,1,2.34666715417941
37208,1452913_at,0.0153917236598523,11.23706,10.69232,0.544739999999999,4.42374454282786,0.00264942402976989,0.612661389706702,1,1,2.34647279298193
41186,1456891_at,0.0163710294748304,5.608862,5.11291,0.495952,5.88077876554418,0.00347397968997574,0.612661389706702,1,1,2.34592604006417
39153,1454858_x_at,0.0182286095174801,6.549078,6.1431,0.405978,4.1307622695655,0.00339805568245843,0.612661389706702,1,1,2.34558435763323
9566,1425260_at,-0.0531092932066983,6.318964,9.123934,-2.80497,-1.8470621527826,0.136646102518938,0.798696331713511,0.28,0.72,2.34480234376194
8614,1424308_at,0.0154251519531767,9.61665,9.095134,0.521516,4.14633652099178,0.00435831548856965,0.612661389706702,1,1,2.3406176468492
10253,1425947_at,0.0173641418342566,4.41619,3.989992,0.426198000000001,3.78014978101338,0.00597191685670732,0.612661389706702,1,1,2.33988175104427
35028,1450733_at,0.0165680937570102,6.646912,6.182708,0.464204000000001,6.18607289800778,0.000291797107536339,0.612661389706702,1,1,2.33987887225978
28346,1444040_at,0.0168061124774149,6.50491,6.053782,0.451128000000001,4.15373983737229,0.00343405672071135,0.612661389706702,1,1,2.33941619885419
28865,1444559_at,0.0155006677592792,5.47281,4.960462,0.512348000000001,3.55933194179093,0.00765816203397031,0.612661389706702,1,1,2.33911197354592
26364,1442058_s_at,0.0163677822701415,5.552468,5.088062,0.464406,4.26226074657523,0.00307190297001418,0.612661389706702,1,1,2.33734373563446
20841,1436535_at,0.0162378525711605,5.763678,5.293318,0.470360000000001,4.22915175724641,0.00532970771306187,0.612661389706702,1,1,2.33727577952687
9879,1425573_a_at,0.016024665023258,6.85719,6.380632,0.476558,4.29771553835617,0.00505851967860567,0.612661389706702,1,1,2.33619744146558
8250,1423944_at,-0.0349060069323425,4.944244,6.705236,-1.760992,-1.94284763159961,0.119020439424807,0.787401005020312,0.04,0.96,2.33589151807113
2613,1418282_x_at,-0.0480909678160713,3.84441,6.517438,-2.673028,-1.88415964019765,0.132520445821156,0.795362092647794,0.24,0.76,2.33273881119438
2352,1418021_at,-0.0460432393076995,6.983956,7.978466,-0.994509999999999,-2.39538858145389,0.0444513267091394,0.70682490318701,0.12,0.88,2.33271935757231
9137,1424831_at,0.0167453073817335,5.581718,5.159312,0.422406,4.27906193181214,0.00522250733346479,0.612661389706702,1,1,2.33085425971821
32663,1448363_at,0.0156519655013261,8.754844,8.281476,0.473367999999999,5.14547695521065,0.00165375039502061,0.612661389706702,1,1,2.33051520084496
12795,1428489_at,0.0169857795255121,8.902314,8.497448,0.404866,3.67611072070475,0.00697071387804986,0.612661389706702,1,1,2.3292147858543
13964,1429658_a_at,0.0170646278971453,5.283688,4.88849,0.395198000000001,4.08921787361936,0.00374116125795024,0.612661389706702,1,1,2.3276168362412
11601,1427295_at,0.0150895561428843,8.199522,7.715012,0.484510000000001,4.75875126234149,0.00148959854066239,0.612661389706702,1,1,2.32626025005462
8584,1424278_a_at,0.0287059690917523,7.91574,7.228332,0.687408,3.06271960582995,0.0342859316870249,0.686252955169309,1,1,2.32571160136945
27409,1443103_at,0.0145504535988666,7.81744,7.310468,0.506972,3.81750011634732,0.00699210569528932,0.612661389706702,1,1,2.32537125056614
11130,1426824_at,-0.0300869448476798,7.94408,8.761366,-0.817286000000001,-3.42126396747839,0.0165296094939655,0.651590291468914,0.08,0.92,2.32451605668165
