IndiceGene,ProbeSetID,Alpha,ClasseAssociada
4771,1420465_s_at,-0.0773457564755237,G1_Control_T0
32980,1448680_at,-0.0748075656706212,G1_Control_T0
34119,1449824_at,-0.0633868922062592,G1_Control_T0
40208,1455913_x_at,-0.0626667059613676,G1_Control_T0
38903,1454608_x_at,-0.061387588740237,G1_Control_T0
21653,1437347_at,-0.0612955176631008,G1_Control_T0
1140,1416809_at,-0.0609659438233275,G1_Control_T0
9566,1425260_at,-0.0531092932066983,G1_Control_T0
44032,1459737_s_at,-0.0496758754607445,G1_Control_T0
2613,1418282_x_at,-0.0480909678160713,G1_Control_T0
