IndiceGene,ProbeSetID,Alpha,ClasseAssociada
32526,1448226_at,0.0548264373954296,G2_Control_Linezolid
18743,1434437_x_at,0.0544266578335961,G2_Control_Linezolid
1133,1416802_a_at,0.0509832950737166,G2_Control_Linezolid
25360,1441054_at,0.0494874866893835,G2_Control_Linezolid
11467,1427161_at,0.0466361380783883,G2_Control_Linezolid
22315,1438009_at,0.0437420485479892,G2_Control_Linezolid
40040,1455745_at,0.0396313271337871,G2_Control_Linezolid
7273,1422967_a_at,0.0377576717578147,G2_Control_Linezolid
36956,1452661_at,0.0374827785679776,G2_Control_Linezolid
20251,1435945_a_at,0.0362517110307101,G2_Control_Linezolid
