IndiceGene,ProbeSetID,Alpha,ClasseAssociada
40375,1456080_a_at,-0.040965090998725,G1_Control_T0
45073,AFFX-r2-Bs-dap-5_at,-0.0403058739327569,G1_Control_T0
1669,1417338_at,-0.0401476995926326,G1_Control_T0
7406,1423100_at,-0.0392295398156236,G1_Control_T0
45054,AFFX-DapX-5_at,-0.0378644940996348,G1_Control_T0
11130,1426824_at,-0.0346548949255369,G1_Control_T0
18968,1434662_at,-0.032656356985446,G1_Control_T0
1668,1417337_at,-0.032504144518005,G1_Control_T0
45082,AFFX-r2-Bs-thr-5_s_at,-0.0323599783429562,G1_Control_T0
6832,1422526_at,-0.0314210961861594,G1_Control_T0
