IndiceGene,ProbeSetID,Alpha,ClasseAssociada
25233,1440927_x_at,0.0845379321506844,G3_Control_Vancomycin
41602,1457307_at,0.0792059763797976,G3_Control_Vancomycin
35083,1450788_at,0.0680865940858262,G3_Control_Vancomycin
12587,1428281_at,0.0674513279732039,G3_Control_Vancomycin
3406,1419075_s_at,0.0650407022658015,G3_Control_Vancomycin
25360,1441054_at,0.0582536343332287,G3_Control_Vancomycin
4095,1419764_at,0.0553962786095261,G3_Control_Vancomycin
34119,1449824_at,0.0525774886182693,G3_Control_Vancomycin
18743,1434437_x_at,0.0500655710125028,G3_Control_Vancomycin
20836,1436530_at,0.0493288230617742,G3_Control_Vancomycin
