IndiceGene,ProbeSetID,Alpha,ClasseAssociada
35207,1450912_at,-0.014586748732093,G1_Control_T0
6428,1422122_at,-0.0143315000383503,G1_Control_T0
25143,1440837_at,-0.0138413780248193,G1_Control_T0
14195,1429889_at,-0.0134300983703647,G1_Control_T0
26329,1442023_at,-0.0133907341294121,G1_Control_T0
39825,1455530_at,-0.013198310481421,G1_Control_T0
12166,1427860_at,-0.0130340557589707,G1_Control_T0
7532,1423226_at,-0.0123059691784211,G1_Control_T0
4100,1419769_at,-0.0117187439971152,G1_Control_T0
40623,1456328_at,-0.0113769117336313,G1_Control_T0
