IndiceGene,ProbeSetID,Alpha,ClasseAssociada
1140,1416809_at,-0.0204945993012042,G4_Infected_2h
40208,1455913_x_at,-0.0202766042089988,G4_Infected_2h
38903,1454608_x_at,-0.0193039152781579,G4_Infected_2h
4771,1420465_s_at,-0.0184818193138619,G4_Infected_2h
34723,1450428_at,-0.016736741112506,G4_Infected_2h
785,1416454_s_at,-0.0166053038904274,G4_Infected_2h
1593,1417262_at,-0.0161855485268898,G4_Infected_2h
5005,1420699_at,-0.0160296571291716,G4_Infected_2h
32980,1448680_at,-0.0156178109613525,G4_Infected_2h
44032,1459737_s_at,-0.0151390827260123,G4_Infected_2h
