IndiceGene,ProbeSetID,Alpha,ClasseAssociada
34304,1450009_at,-0.0611290992898952,G5_Infected_24h_Untreated
4022,1419691_at,-0.0536945797915663,G5_Infected_24h_Untreated
31021,1446715_at,-0.0501019043670919,G5_Infected_24h_Untreated
4040,1419709_at,-0.0495439089550259,G5_Infected_24h_Untreated
9757,1425451_s_at,-0.0443295735350486,G5_Infected_24h_Untreated
32716,1448416_at,-0.0411573149165437,G5_Infected_24h_Untreated
4095,1419764_at,-0.0407358520988768,G5_Infected_24h_Untreated
3053,1418722_at,-0.0402091295734495,G5_Infected_24h_Untreated
3863,1419532_at,-0.0396485383718193,G5_Infected_24h_Untreated
24676,1440370_at,-0.038483228412415,G5_Infected_24h_Untreated
