IndiceGene,ProbeSetID,Alpha,ClasseAssociada
21653,1437347_at,0.0518608642256162,G6_Infected_24h_Linezolid
33493,1449193_at,0.0423227618539856,G6_Infected_24h_Linezolid
33734,1449434_at,0.0418643444950629,G6_Infected_24h_Linezolid
26329,1442023_at,0.0382677922179902,G6_Infected_24h_Linezolid
4644,1420338_at,0.0377520490112379,G6_Infected_24h_Linezolid
3413,1419082_at,0.0372178919304719,G6_Infected_24h_Linezolid
2182,1417851_at,0.036693484456633,G6_Infected_24h_Linezolid
4023,1419692_a_at,0.0346369364547553,G6_Infected_24h_Linezolid
26388,1442082_at,0.0344040340327244,G6_Infected_24h_Linezolid
34119,1449824_at,0.0340647257856218,G6_Infected_24h_Linezolid
