IndiceGene,ProbeSetID,Alpha,ClasseAssociada
4040,1419709_at,-0.0808176309338211,G7_Infected_24h_Vancomycin
34304,1450009_at,-0.0792843216532785,G7_Infected_24h_Vancomycin
4022,1419691_at,-0.0607490257194774,G7_Infected_24h_Vancomycin
20067,1435761_at,-0.0503491308944054,G7_Infected_24h_Vancomycin
3053,1418722_at,-0.0471594787803577,G7_Infected_24h_Vancomycin
25233,1440927_x_at,-0.0446404750834931,G7_Infected_24h_Vancomycin
21366,1437060_at,-0.0416196972835573,G7_Infected_24h_Vancomycin
41602,1457307_at,-0.0396062260515209,G7_Infected_24h_Vancomycin
32873,1448573_a_at,-0.0385911671966672,G7_Infected_24h_Vancomycin
1405,1417074_at,-0.0357087036256491,G7_Infected_24h_Vancomycin
