IndiceGene,ProbeSetID,Alpha,ClasseAssociada
3261,1418930_at,0.0582617316821904,G6_Infected_24h_Linezolid
33734,1449434_at,0.0557533956595867,G6_Infected_24h_Linezolid
33325,1449025_at,0.0523622056879244,G6_Infected_24h_Linezolid
20212,1435906_x_at,0.0473583394514379,G6_Infected_24h_Linezolid
22982,1438676_at,0.0431433622193692,G6_Infected_24h_Linezolid
2571,1418240_at,0.0427280860034595,G6_Infected_24h_Linezolid
4859,1420553_x_at,0.041670461029666,G6_Infected_24h_Linezolid
12587,1428281_at,0.0411485815282312,G6_Infected_24h_Linezolid
11687,1427381_at,0.0406494408356683,G6_Infected_24h_Linezolid
36200,1451905_a_at,0.0392627778206635,G6_Infected_24h_Linezolid
