IndiceGene,ProbeSetID,Alpha,ClasseAssociada
32716,1448416_at,-0.0519553752480784,G5_Infected_24h_Untreated
11489,1427183_at,-0.0433785588157763,G5_Infected_24h_Untreated
3261,1418930_at,-0.0421888710435149,G5_Infected_24h_Untreated
36644,1452349_x_at,-0.0386156764724631,G5_Infected_24h_Untreated
20212,1435906_x_at,-0.0377355772893475,G5_Infected_24h_Untreated
1631,1417300_at,-0.0350779632639165,G5_Infected_24h_Untreated
11687,1427381_at,-0.0348263618412174,G5_Infected_24h_Untreated
12189,1427883_a_at,-0.0345633898734985,G5_Infected_24h_Untreated
36409,1452114_s_at,-0.034539384408486,G5_Infected_24h_Untreated
7453,1423147_at,-0.0342088674453283,G5_Infected_24h_Untreated
