IndiceGene,ProbeSetID,Alpha,ClasseAssociada
3880,1419549_at,0.0456114563639594,G7_Infected_24h_Vancomycin
40719,1456424_s_at,0.0321192102162992,G7_Infected_24h_Vancomycin
26388,1442082_at,0.0313578108190371,G7_Infected_24h_Vancomycin
12166,1427860_at,0.0311644635336579,G7_Infected_24h_Vancomycin
35207,1450912_at,0.0290445139054909,G7_Infected_24h_Vancomycin
10120,1425814_a_at,0.0287014394926829,G7_Infected_24h_Vancomycin
39825,1455530_at,0.026920410431676,G7_Infected_24h_Vancomycin
21653,1437347_at,0.0266345731230827,G7_Infected_24h_Vancomycin
11598,1427292_at,0.0263690146885712,G7_Infected_24h_Vancomycin
2294,1417963_at,0.0262397606918655,G7_Infected_24h_Vancomycin
