ProbeSetID,Categoria,ContrastesNosQuaisAparece,FrequenciaTop50Global,FrequenciaTop50Infeccao,MelhorFDR,MelhorAUC,MaiorAbsDeltaMedia,DirecaoPredominante,Alpha_G5_vs_G1,DeltaMedia_G5_vs_G1,FDR_G5_vs_G1,AUC_G5_vs_G1,ScoreIntegrado_G5_vs_G1,JustificativaCurta
1449366_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h,2,2,0.00051054398,1,4.708248,associado aos grupos infectados (G4/G5),0.015936467,4.708248,0.0079994004,1,2.6598699,melhor FDR=5.105e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=4.708; frequência global Top50=2. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1427747_a_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G5_vs_G4_progressao_2h_para_24h,3,2,0.00056762714,1,6.496268,associado aos grupos infectados (G4/G5),0.021929089,6.496268,0.00056762714,1,3.3709635,melhor FDR=5.676e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=6.496; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1434758_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,3,2,0.0026875988,1,4.471148,associado aos grupos infectados (G4/G5),0.015261017,4.471148,0.0039252766,1,2.6781793,melhor FDR=0.003; melhor AUC=1.00; abs(DeltaMedia) máximo=4.471; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1419532_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,3,2,0.0012086067,1,4.98612,associado aos grupos infectados (G4/G5),0.016749701,4.98612,0.001347516,1,2.9059638,melhor FDR=0.001; melhor AUC=1.00; abs(DeltaMedia) máximo=4.986; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1418722_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G5_vs_G4_progressao_2h_para_24h; G6_vs_G5_efeito_linezolida; G6_vs_G7_linezolida_vs_vancomicina,5,2,0.00056762714,1,6.110576,associado aos grupos infectados (G4/G5),0.024622133,6.110576,0.00056762714,1,3.41613,melhor FDR=5.676e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=6.111; frequência global Top50=5. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1435761_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G7_linezolida_vs_vancomicina,3,2,0.0016280532,1,4.33723,associado aos grupos infectados (G4/G5),0.01263036,4.33723,0.013316666,1,2.4437004,melhor FDR=0.002; melhor AUC=1.00; abs(DeltaMedia) máximo=4.337; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1434484_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h,2,2,0.00082011214,1,4.97852,associado aos grupos infectados (G4/G5),0.015091277,4.97852,0.010405053,1,2.6380885,melhor FDR=8.201e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=4.979; frequência global Top50=2. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1437056_x_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,3,2,0.0025826242,1,4.065454,associado aos grupos infectados (G4/G5),0.012710439,4.065454,0.0055904829,1,2.5000633,melhor FDR=0.003; melhor AUC=1.00; abs(DeltaMedia) máximo=4.065; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1437060_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,3,2,0.0010137401,1,5.286456,associado aos grupos infectados (G4/G5),0.021056095,5.286456,0.0010137401,1,3.1252996,melhor FDR=0.001; melhor AUC=1.00; abs(DeltaMedia) máximo=5.286; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
1422953_at,infecção/sepse,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h,2,2,0.00082011214,1,3.99556,associado aos grupos infectados (G4/G5),0.013064525,3.99556,0.001645231,1,2.6283032,melhor FDR=8.201e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=3.996; frequência global Top50=2. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
