Categoria,ProbeSetID,ContrastesNosQuaisAparece,FrequenciaRecorrencia,FrequenciaTop50Global,MelhorFDR,MelhorAUC,MaiorAbsDeltaMedia,ScoreIntegradoMaximo,DirecaoPredominante,JustificativaCurta
infecção,1449366_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h,2,2,0.00051054398,1,4.708248,4,associado aos grupos infectados (G4/G5),melhor FDR=5.105e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=4.708; frequência global Top50=2. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1427747_a_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G5_vs_G4_progressao_2h_para_24h,2,3,0.00056762714,1,6.496268,3.8428495,associado aos grupos infectados (G4/G5),melhor FDR=5.676e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=6.496; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1434758_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,2,3,0.0026875988,1,4.471148,3.5673877,associado aos grupos infectados (G4/G5),melhor FDR=0.003; melhor AUC=1.00; abs(DeltaMedia) máximo=4.471; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1419532_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,2,3,0.0012086067,1,4.98612,3.4845885,associado aos grupos infectados (G4/G5),melhor FDR=0.001; melhor AUC=1.00; abs(DeltaMedia) máximo=4.986; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1418722_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G5_vs_G4_progressao_2h_para_24h; G6_vs_G5_efeito_linezolida; G6_vs_G7_linezolida_vs_vancomicina,2,5,0.00056762714,1,6.110576,3.41613,associado aos grupos infectados (G4/G5),melhor FDR=5.676e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=6.111; frequência global Top50=5. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1435761_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G7_linezolida_vs_vancomicina,2,3,0.0016280532,1,4.33723,3.3914888,associado aos grupos infectados (G4/G5),melhor FDR=0.002; melhor AUC=1.00; abs(DeltaMedia) máximo=4.337; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1434484_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h,2,2,0.00082011214,1,4.97852,3.3823059,associado aos grupos infectados (G4/G5),melhor FDR=8.201e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=4.979; frequência global Top50=2. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1437056_x_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,2,3,0.0025826242,1,4.065454,3.3396298,associado aos grupos infectados (G4/G5),melhor FDR=0.003; melhor AUC=1.00; abs(DeltaMedia) máximo=4.065; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1437060_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida,2,3,0.0010137401,1,5.286456,3.2618797,associado aos grupos infectados (G4/G5),melhor FDR=0.001; melhor AUC=1.00; abs(DeltaMedia) máximo=5.286; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1422953_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h,2,2,0.00082011214,1,3.99556,3.2431247,associado aos grupos infectados (G4/G5),melhor FDR=8.201e-04; melhor AUC=1.00; abs(DeltaMedia) máximo=3.996; frequência global Top50=2. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1434046_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G5_vs_G4_progressao_2h_para_24h; G6_vs_G5_efeito_linezolida,2,4,0.0010750188,1,5.44256,3.0608048,associado aos grupos infectados (G4/G5),melhor FDR=0.001; melhor AUC=1.00; abs(DeltaMedia) máximo=5.443; frequência global Top50=4. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1419647_a_at,G4_vs_G1_infeccao_2h; G5_vs_G1_infeccao_24h; G6_vs_G5_efeito_linezolida; G7_vs_G5_efeito_vancomicina,2,4,0.0017285462,1,3.595256,2.9594961,associado aos grupos infectados (G4/G5),melhor FDR=0.002; melhor AUC=1.00; abs(DeltaMedia) máximo=3.595; frequência global Top50=4. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
infecção,1421262_at,G5_vs_G1_infeccao_24h; G5_vs_G4_progressao_2h_para_24h; G6_vs_G5_efeito_linezolida,1,3,0.0048931644,1,7.766754,3.5426587,associado a G5 infectado 24 h sem tratamento,melhor FDR=0.005; melhor AUC=1.00; abs(DeltaMedia) máximo=7.767; frequência global Top50=3. Direção positiva indica maior expressão no grupo infectado; direção negativa indica marcador inverso associado ao controle.
